,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C142,C143,C144,C145,C146,C147,C148,C149,C150,C151,C152,C153,C154,C155,C156,C157,C158,C159,C160,C161,C162,C163,C164,C165,C166,C167,STATUS
T1037,0,11.263,0,99.569,0,8.183,120.757,599.004,0,597.493,0,8.053,604.539,10.092,0,99.687,0,8.034,119.55,598.445,0,601.862,0,8.019,610.232,28.063,28,27.875,28.063,29.125,29.313,0.67,37.604,1995,36.935,1963.8,1930,1995,-15.655,0.72,28.009,0.174,5.399,-37.78,-35.78,47.488,40.855,1935,38.066,4.9,137.257,32.438,8.44,8.2,47.502,40.87,1935,38.036,4.915,137.66,35,-36.908,-32.867,47.502,41.631,1962.5,38.063,4.825,135.142,36.938,8.48,8.24,47.49,41.289,1962.5,37.995,4.851,135.878,38.438,-36.38,-31.421,47.498,42.901,1990,38.526,4.677,131.008,39.875,8.24,8,47.509,42.579,1990,38.465,4.725,132.334,41.063,0.369,39.142,2194.15,38.773,2121.7,2110,2200,-16.871,0.718,28.009,0.174,5.399,-34.002,-31.456,47.502,41.004,2115,40.338,4.899,137.218,36.75,9.04,8.72,47.497,41.203,2115,40.332,4.869,136.388,38,-33.207,-30.472,47.512,41.86,2155,40.292,4.81,134.714,40.188,8.64,8.44,47.504,41.488,2155,40.205,4.843,135.661,41.625,-36.283,-32.828,47.512,43.452,2195,39.989,4.634,129.783,43.188,8.08,7.88,47.512,43.166,2195,39.91,4.664,130.621,44.188,0,28.008,0.168,5.399,PASS
T1038,0,6.112,0,99.815,0,8.335,115.013,599.892,0,602.602,0,8.144,611.01,7.34,0,99.65,0,8.068,116.373,606.573,0,601.802,0,8.037,610.201,25.375,24.813,25.5,24.813,25.313,25.375,1.221,37.441,1995,36.22,1930.97,1930,1995,-14.084,0.72,28.008,0.172,5.399,-33.008,-30.285,47.512,40.589,1935,37.719,4.96,138.928,29.938,8.68,8.44,47.503,40.278,1935,37.664,4.988,139.705,31.688,-31.809,-28.252,47.509,41.671,1962.5,37.98,4.828,135.227,34,8.64,8.4,47.502,41.395,1962.5,37.946,4.853,135.919,35.813,-30.465,-27.739,47.49,42.882,1990,38.596,4.671,130.84,37.313,8.24,8.04,47.5,42.674,1990,38.539,4.705,131.785,38.563,1.611,39.959,2198.65,38.348,2110,2110,2200,-14.05,0.711,28.009,0.172,5.399,-34.468,-31.68,47.515,41.163,2115,39.836,4.894,137.082,35,8.92,8.64,47.486,41.162,2115,39.807,4.862,136.172,36.563,-33.613,-30.316,47.51,41.873,2155,40.51,4.805,134.595,38.75,8.72,8.48,47.502,41.775,2155,40.443,4.808,134.668,40.125,-35.879,-32.223,47.508,43.743,2195,40.766,4.598,128.786,41.5,8.24,8.04,47.498,43.162,2195,40.683,4.649,130.227,42.438,0,28.008,0.167,5.399,PASS
T1039,0,1.05,0,100.277,0,8.259,109.901,601.796,0,602.912,0,8.084,611.364,1.066,0,99.359,0,8.026,108.793,601.252,0,600.448,0,7.987,608.59,23.438,22.188,22.563,23.688,23.313,23.625,1.257,39.61,1993.7,38.353,1930,1930,1995,-14.398,0.692,28.006,0.176,5.401,-39.863,-36.322,47.506,44.082,1935,39.284,4.562,127.755,29.25,8.56,8.24,47.498,44.015,1935,39.242,4.559,127.693,30.688,-40.008,-35.306,47.491,43.7,1962.5,39.735,4.586,128.429,32.563,8.52,8.2,47.506,43.871,1962.5,39.727,4.583,128.357,34,-36.953,-32.838,47.498,44.447,1990,40.35,4.515,126.455,35.688,8.28,8,47.493,43.97,1990,40.26,4.559,127.676,36.75,0.42,39.353,2195.95,38.933,2140.15,2110,2200,-16.187,0.68,28.006,0.176,5.401,-33.168,-30.546,47.488,39.341,2115,40.414,5.09,142.549,33.813,8.72,8.44,47.51,39.239,2115,40.349,5.129,143.649,35,-33.165,-30.378,47.499,39.771,2155,40.341,5.047,141.359,38.125,8.24,8.04,47.498,39.198,2155,40.191,5.12,143.409,39.813,-34.012,-32.267,47.486,42.685,2195,39.852,4.688,131.308,41.438,7.64,7.48,47.493,42.457,2195,39.759,4.722,132.237,42.688,0,28.006,0.17,5.401,PASS
T1040,0,10.455,0,100.511,0,8.263,120.913,604.167,0,602.939,0,8.123,611.402,11.61,0,99.453,0,8.031,120.605,596.924,0,597.414,0,8.077,605.825,21.563,22.313,21.5,22.5,22.813,22.875,0.597,37.815,1995,37.218,1950.8,1930,1995,-14.818,0.731,28.008,0.176,5.399,-35.535,-33.101,47.5,41.024,1935,38.507,4.894,137.075,29.125,8.8,8.48,47.504,40.909,1935,38.475,4.912,137.585,30.938,-33.771,-30.315,47.515,41.445,1962.5,38.588,4.861,136.141,32.875,8.8,8.52,47.493,41.222,1962.5,38.517,4.863,136.195,34.688,-33.418,-29.268,47.511,42.797,1990,39.098,4.703,131.723,36.5,8.52,8.28,47.507,42.624,1990,39.037,4.718,132.138,37.75,0.494,38.934,2192.8,38.441,2120.35,2110,2200,-15.662,0.716,28.008,0.176,5.399,-35.03,-33.385,47.492,40.573,2115,39.964,4.939,138.339,34.563,9,8.68,47.501,40.501,2115,39.917,4.958,138.873,36.125,-32.468,-30.932,47.491,40.42,2155,39.982,4.957,138.831,38.813,9.04,8.72,47.506,40.136,2155,39.898,5.009,140.311,40.25,-31.653,-30.482,47.492,41.509,2195,39.813,4.827,135.213,41.813,8.84,8.52,47.499,41.563,2195,39.779,4.829,135.263,42.938,0,28.008,0.171,5.399,PASS
T1041,0,8.39,0,99.997,0,8.295,118.019,603.661,0,602.898,0,8.06,611.301,8.284,0,99.541,0,8.029,117.17,604.021,0,602.459,0,7.99,608.88,22.5,22.125,21.875,22.5,23.813,23.563,0.603,37.302,1993.38,36.699,1930,1930,1995,-14.257,0.706,28.006,0.174,5.4,-37.288,-33.751,47.51,40.719,1935,38.006,4.942,138.406,30.563,8.56,8.32,47.487,40.906,1935,37.984,4.894,137.075,32.25,-36.483,-32.108,47.495,40.545,1962.5,38.332,4.947,138.547,34.438,8.44,8.2,47.499,40.563,1962.5,38.259,4.949,138.596,35.938,-33.882,-29.249,47.486,40.97,1990,38.565,4.885,136.809,38.188,8.32,8.12,47.498,40.901,1990,38.525,4.907,137.424,39.625,0.716,38.979,2199.55,38.262,2110,2110,2200,-15.904,0.695,28.006,0.174,5.401,-34.972,-35.303,47.495,40.613,2115,39.456,4.939,138.311,35.5,8.68,8.4,47.502,40.64,2115,39.426,4.943,138.449,37,-34.344,-32.64,47.49,41.037,2155,39.696,4.882,136.729,39.313,8.6,8.32,47.501,40.739,2155,39.607,4.93,138.081,40.688,-33.911,-34.024,47.506,42.657,2195,39.536,4.713,132.01,42.313,8.16,7.96,47.495,42.356,2195,39.438,4.735,132.627,43.625,0,28.006,0.169,5.4,PASS
T1042,0,8.788,0,99.93,0,8.269,118.291,599.801,0,602.693,0,8.044,611.15,9.943,0,99.462,0,8.047,119.021,604.791,0,598.357,0,8.016,606.726,24.938,24.625,24.563,24.875,25.75,26.063,0.708,38.109,1995,37.401,1963.8,1930,1995,-14.925,0.725,28.009,0.174,5.399,-38.085,-36.571,47.512,41.696,1935,38.462,4.829,135.243,30.563,8.44,8.16,47.507,41.866,1935,38.44,4.804,134.551,32.25,-37.723,-33.474,47.486,42.173,1962.5,38.431,4.745,132.912,34,8.48,8.2,47.51,42.177,1962.5,38.383,4.771,133.622,35.813,-37.664,-32.447,47.502,43.6,1990,38.958,4.607,129.049,37.25,8.2,8,47.497,43.234,1990,38.89,4.641,129.994,38.563,0.771,38.933,2195.5,38.162,2119.45,2110,2200,-16.982,0.71,28.009,0.174,5.399,-32.347,-28.588,47.495,41.985,2115,39.925,4.777,133.786,35.563,8.96,8.72,47.514,41.883,2115,39.889,4.809,134.695,37,-32.912,-28.53,47.488,42.657,2155,40.029,4.694,131.461,39.75,8.48,8.28,47.486,42.372,2155,39.951,4.723,132.282,41.125,-36.19,-31.735,47.513,44.195,2195,39.826,4.557,127.632,42.625,7.8,7.64,47.493,43.98,2195,39.759,4.557,127.645,43.625,0,28.008,0.169,5.399,PASS
T1043,0,2.783,0,100.432,0,8.263,112.146,603.827,0,595.69,0,8.101,603.329,6.538,0,99.474,0,8.059,115.238,602.528,0,603.529,0,8.062,611.913,20.938,20.938,22,21,23.063,22.875,0.584,37.562,1995,36.978,1963.8,1930,1995,-14.882,0.71,28.008,0.175,5.399,-35,-32.38,47.49,40.665,1935,38.274,4.926,137.976,29.688,8.72,8.44,47.498,40.855,1935,38.239,4.912,137.594,31.375,-32.809,-29.725,47.487,41.723,1962.5,38.281,4.797,134.363,33.25,8.72,8.44,47.495,41.368,1962.5,38.2,4.847,135.767,34.938,-32.835,-29.535,47.491,43.119,1990,38.579,4.646,130.139,36.313,8.36,8.12,47.508,42.718,1990,38.504,4.709,131.894,37.5,0.858,39.207,2195.5,38.349,2119.45,2110,2200,-15.9,0.705,28.008,0.175,5.399,-34.555,-31.728,47.498,41.432,2115,39.758,4.843,135.655,34.063,9,8.68,47.496,41.233,2115,39.704,4.864,136.246,35.5,-33.547,-31.07,47.49,42.199,2155,39.972,4.747,132.947,37.813,8.88,8.6,47.511,42.099,2155,39.918,4.782,133.926,39.125,-35.124,-33.511,47.494,43.423,2195,39.914,4.618,129.332,41.063,8.44,8.2,47.503,43.132,2195,39.834,4.658,130.465,42.25,0,28.008,0.169,5.399,PASS
T1044,0,8.1,0,100.177,0,8.244,117.741,599.398,0,602.088,0,8.038,611.053,6.171,0,99.86,0,8.051,115.03,598.197,0,603.323,0,7.963,611.793,22.438,23.063,23.438,22.625,23.375,23.625,0.865,38.262,1995,37.397,1930,1930,1995,-15.912,0.705,28.006,0.177,5.401,-37.663,-33.618,47.491,43.603,1935,38.583,4.596,128.714,29.813,8.44,8.16,47.503,43.353,1935,38.531,4.635,129.816,31.438,-37.604,-32.812,47.488,43.37,1962.5,38.819,4.617,129.316,33.313,8.32,8.08,47.505,43.295,1962.5,38.758,4.643,130.025,34.813,-34.885,-30.902,47.513,44.154,1990,39.165,4.561,127.751,36.5,8.04,7.84,47.51,43.762,1990,39.09,4.598,128.784,37.688,0.453,38.629,2196.85,38.176,2125.3,2110,2200,-16.186,0.697,28.006,0.177,5.401,-32.86,-30.257,47.509,39.525,2115,39.885,5.091,142.57,34.375,8.92,8.64,47.498,39.228,2115,39.818,5.116,143.277,35.75,-32.785,-29.809,47.508,39.653,2155,39.893,5.073,142.08,38.063,8.48,8.28,47.488,39.307,2155,39.773,5.094,142.668,39.625,-36.795,-33.261,47.5,41.778,2195,39.408,4.806,134.595,41.438,7.92,7.76,47.496,41.721,2195,39.346,4.808,134.655,42.563,0,28.005,0.171,5.401,PASS
T1045,0,1.147,0,100.451,0,8.281,110.185,598.49,0,599.642,0,8.077,607.592,0.83,0,100.435,0,8.044,109.637,598.499,0,601.744,0,8.041,610.116,21.875,21.563,22.563,21.875,23.375,23.25,0.814,39.157,1995,38.343,1950.8,1930,1995,-15.313,0.705,28.008,0.176,5.399,-38.718,-37.987,47.488,43.315,1935,38.895,4.622,129.46,29.125,8.36,8.08,47.499,43.518,1935,38.874,4.612,129.182,30.563,-39.877,-35.055,47.514,43.962,1962.5,38.989,4.581,128.315,32.625,8.36,8.08,47.506,43.513,1962.5,38.914,4.621,129.429,34.313,-34.007,-31.325,47.49,44.54,1990,39.553,4.497,125.957,35.875,8,7.76,47.499,44.14,1990,39.481,4.548,127.376,37.188,0.576,40.15,2195.5,39.573,2119.9,2110,2200,-16.684,0.697,28.008,0.176,5.399,-36.334,-35.896,47.507,42.88,2115,40.35,4.69,131.362,33.875,8.56,8.24,47.5,42.773,2115,40.292,4.694,131.464,35.5,-41.99,-37.758,47.51,43.424,2155,40.564,4.634,129.805,37.875,8.4,8.12,47.488,43.084,2155,40.444,4.647,130.158,39.125,-38.696,-40.568,47.496,44.006,2195,40.28,4.559,127.679,41,7.88,7.64,47.493,43.976,2195,40.212,4.558,127.676,42.188,0,28.008,0.17,5.399,PASS
T1046,0,7.11,0,99.805,0,8.366,116.412,596.045,0,602.334,0,8.095,610.815,6.449,0,99.596,0,8.062,115.22,597.961,0,598.138,0,8.065,606.531,21.75,21.625,22.063,22.313,23.375,23.25,0.401,37.371,1994.35,36.971,1964.12,1930,1995,-15.539,0.722,28.008,0.172,5.399,-34.164,-32.2,47.488,40.708,1935,38.523,4.918,137.757,29.938,8.84,8.56,47.5,40.658,1935,38.458,4.938,138.301,31.875,-31.915,-28.832,47.487,41.832,1962.5,38.445,4.785,134.034,34.188,8.88,8.6,47.514,41.625,1962.5,38.381,4.839,135.53,35.813,-31.316,-27.89,47.507,42.983,1990,38.747,4.678,131.039,37.25,8.56,8.32,47.511,42.587,1990,38.678,4.727,132.388,38.438,0.865,39.497,2192.8,38.632,2120.35,2110,2200,-15.765,0.707,28.008,0.172,5.399,-34.239,-33.992,47.504,41.828,2115,39.726,4.804,134.553,35.125,8.84,8.56,47.503,41.869,2115,39.69,4.799,134.408,36.5,-34.239,-33.305,47.506,42.165,2155,39.89,4.768,133.536,38.813,8.72,8.48,47.502,42.005,2155,39.83,4.782,133.943,40,-33.622,-33.958,47.492,43.045,2195,39.855,4.655,130.391,41.938,8.32,8.08,47.492,42.685,2195,39.773,4.695,131.501,42.875,0,28.008,0.166,5.399,PASS
T1047,0,0.423,1200,100.413,1650,8.239,109.343,604.533,769,602.345,2171,8.032,610.785,0.535,1200,100.239,1646,8.059,109.07,606.291,771,601.797,2144,8.068,610.16,26.688,27.063,26.688,26.688,27.938,28.25,1.391,38.808,1995,37.416,1932.6,1930,1995,-14.277,0.7,28.007,0.176,5.401,-37.702,-39.643,47.49,43.102,1935,38.159,4.648,130.174,30.438,8.28,7.96,47.491,42.738,1935,38.091,4.689,131.318,31.688,-39.152,-36.553,47.494,43.246,1962.5,38.729,4.636,129.84,33.813,8.16,7.92,47.501,42.98,1962.5,38.658,4.672,130.856,35.125,-35.912,-32.755,47.502,44.051,1990,39.339,4.56,127.704,36.563,7.92,7.72,47.501,43.749,1990,39.284,4.59,128.556,37.75,0.598,39.832,2157.25,39.234,2200,2110,2200,-14.315,0.694,28.007,0.176,5.401,-38.659,-41.19,47.498,37.398,2115,40.572,5.367,150.314,35.25,8.16,7.88,47.489,37.19,2115,40.49,5.385,150.828,36.813,-37.335,-40.832,47.504,38.254,2155,40.515,5.253,147.139,39.875,8.4,8.08,47.505,37.799,2155,40.393,5.318,148.949,41.438,-31.402,-32.732,47.497,38.276,2195,39.555,5.242,146.816,43.375,8.44,8.12,47.491,38.08,2195,39.475,5.261,147.355,44.5,0,28.007,0.17,5.401,PASS
T1048,0,4.95,0,100.66,0,8.211,114.545,600.184,0,598.466,0,8.126,606.835,6.973,0,99.812,0,8.041,116.309,604.462,0,602.917,0,8.074,611.265,24.688,24.875,24.25,25.375,25.813,25.5,0.79,38.315,1995,37.525,1960.22,1930,1995,-14.795,0.714,28.009,0.174,5.399,-38.929,-37.218,47.503,41.455,1935,38.492,4.846,135.734,30.313,8.48,8.2,47.498,41.847,1935,38.5,4.796,134.321,31.813,-38.158,-33.565,47.491,42.478,1962.5,38.519,4.717,132.115,33.938,8.52,8.24,47.507,42.39,1962.5,38.458,4.744,132.886,35.688,-37.339,-32.35,47.487,43.078,1990,39.054,4.646,130.136,37.25,8.28,8.08,47.487,43.225,1990,39.054,4.631,129.7,38.375,0.493,39.23,2194.15,38.737,2119.45,2110,2200,-16.179,0.71,28.009,0.174,5.399,-34,-31.143,47.512,40.892,2115,40.161,4.923,137.899,34.563,9,8.72,47.489,40.84,2115,40.134,4.904,137.358,36.25,-33.911,-31.074,47.486,41.626,2155,40.222,4.807,134.647,38.813,8.68,8.44,47.504,41.254,2155,40.119,4.871,136.433,40.25,-38.715,-35.076,47.49,43.148,2195,39.922,4.642,130.017,41.75,8.16,7.88,47.49,42.95,2195,39.845,4.663,130.616,42.875,0,28.009,0.169,5.399,PASS
T1049,0,6.367,0,99.556,0,8.339,115.254,605.347,0,603.042,0,8.162,611.503,12.799,0,99.69,0,8.056,122.375,603.626,0,602.963,0,8.059,611.381,23.938,22.063,24.063,23.813,23.688,23.688,0.527,37.673,1932.6,37.146,1956.32,1930,1995,-14.836,0.726,28.009,0.172,5.399,-34.807,-32.603,47.513,40.38,1935,38.705,4.987,139.667,29.813,8.68,8.44,47.486,40.454,1935,38.678,4.947,138.548,31.438,-32.188,-29.401,47.491,41.204,1962.5,38.461,4.862,136.18,33.438,8.76,8.52,47.5,40.856,1962.5,38.389,4.914,137.636,34.938,-32.318,-29.123,47.501,42.583,1990,38.619,4.716,132.088,36.563,8.48,8.28,47.502,42.35,1990,38.551,4.743,132.857,37.875,0.32,38.717,2193.7,38.397,2122.15,2110,2200,-16.04,0.715,28.008,0.172,5.399,-33.904,-33.93,47.488,39.838,2115,39.546,5.026,140.762,35.188,8.76,8.48,47.506,39.513,2115,39.464,5.088,142.503,36.938,-32.111,-30.9,47.489,39.698,2155,39.71,5.045,141.3,39.25,8.8,8.56,47.506,39.31,2155,39.61,5.115,143.266,40.75,-31,-29.691,47.507,40.529,2195,39.439,4.962,138.983,42.938,8.56,8.36,47.501,40.25,2195,39.363,4.989,139.731,44.188,0,28.008,0.166,5.399,PASS
T1050,0,5.422,0,99.666,0,8.36,114.323,606.081,0,597.7,0,8.153,606.09,6.723,0,99.556,0,8.047,115.305,601.33,0,602.781,0,8.053,611.147,29.563,29.688,29.563,29.75,31,31.063,0.648,37.997,1995,37.349,1950.8,1930,1995,-15.251,0.714,28.009,0.175,5.399,-38.622,-35.726,47.511,43.137,1935,38.418,4.666,130.703,32.313,8.48,8.16,47.504,43.04,1935,38.38,4.669,130.778,33.875,-37.656,-32.611,47.499,43.279,1962.5,38.394,4.638,129.902,35.813,8.44,8.16,47.506,43.21,1962.5,38.364,4.653,130.318,37.438,-33.502,-30.353,47.499,44.581,1990,38.875,4.502,126.11,38.875,8.12,7.92,47.503,44.33,1990,38.82,4.533,126.952,40.188,0.302,39.753,2176.6,39.451,2138.8,2110,2200,-16.747,0.71,28.009,0.175,5.399,-37.63,-34.716,47.497,42.763,2115,40.611,4.692,131.409,36.563,8.84,8.56,47.497,42.364,2115,40.53,4.736,132.65,38,-35.959,-32.312,47.509,42.621,2155,40.575,4.72,132.216,40,8.48,8.24,47.505,42.431,2155,40.485,4.737,132.673,41.313,-37.075,-34.891,47.489,43.606,2195,40.211,4.592,128.629,42.75,7.92,7.72,47.499,43.44,2195,40.14,4.62,129.409,44.063,0,28.009,0.17,5.399,PASS
T1051,0,0.896,0,100.154,0,8.259,109.375,602.924,0,602.287,0,8.032,610.721,0.8,0,100.217,0,8.026,109.185,602.514,0,597.883,0,8.002,606.075,22.188,22.438,22.563,23.063,23.25,23.313,1.534,40.254,1993.7,38.72,1930,1930,1995,-13.349,0.691,28.006,0.177,5.4,-39.302,-37.591,47.504,43.752,1935,39.697,4.593,128.646,29.125,8.28,8,47.495,44.009,1935,39.689,4.558,127.643,30.438,-38.598,-36.217,47.494,44.343,1962.5,40.424,4.522,126.644,32.188,8.28,7.96,47.497,44.218,1962.5,40.345,4.537,127.074,33.563,-35.713,-32.378,47.5,44.585,1990,40.83,4.503,126.128,35.625,8,7.76,47.503,44.365,1990,40.763,4.528,126.83,36.938,0.486,40.118,2200,39.632,2142.4,2110,2200,-14.764,0.678,28.006,0.176,5.401,-41.701,-39.036,47.491,39.267,2115,40.767,5.103,142.921,34.063,8.44,8.12,47.509,39.355,2115,40.729,5.112,143.183,35.438,-37.656,-34.527,47.487,39.892,2155,40.945,5.018,140.538,38.563,8.4,8.12,47.5,39.493,2155,40.829,5.084,142.379,40,-38.623,-37.074,47.507,41.434,2195,40.496,4.854,135.947,41.75,8,7.72,47.499,41.179,2195,40.42,4.875,136.539,42.75,0,28.006,0.171,5.401,PASS
T1052,0,10.841,0,99.447,0,8.266,120.073,599.616,0,602.566,0,8.08,610.931,8.402,0,99.37,0,8.056,117.102,605.496,0,602.456,0,8.034,610.724,25.625,26,25.875,26.25,26.375,26.313,0.711,37.959,1995,37.247,1960.22,1930,1995,-16.71,0.726,28.009,0.174,5.399,-37.468,-34.51,47.494,41.887,1935,38.452,4.786,134.057,31.188,8.4,8.12,47.498,41.546,1935,38.389,4.83,135.279,32.813,-36.347,-32.106,47.508,42.566,1962.5,38.475,4.726,132.36,34.75,8.4,8.16,47.508,42.547,1962.5,38.417,4.727,132.408,36.313,-35.643,-31.545,47.489,43.323,1990,38.886,4.623,129.482,38,8.2,7.96,47.495,43.555,1990,38.856,4.605,128.969,39.188,0.786,39.827,2195.5,39.041,2110,2110,2200,-17.083,0.717,28.009,0.174,5.399,-33.879,-29.854,47.489,43.166,2115,40.527,4.64,129.951,35.5,8.76,8.52,47.49,43.465,2115,40.528,4.609,129.084,36.875,-35.285,-30.451,47.493,44.467,2155,40.639,4.508,126.273,38.938,8.16,8,47.506,44.23,2155,40.582,4.545,127.31,40.188,-36.39,-35.132,47.508,45.913,2195,40.321,4.381,122.708,41.563,7.52,7.36,47.498,45.479,2195,40.252,4.413,123.596,42.438,0,28.009,0.169,5.399,PASS
T1053,0,6.946,0,99.912,0,8.281,116.163,597.606,0,601.954,0,8.144,608.337,6.225,0,100.459,0,8.104,115.789,599.226,0,601.659,0,8.071,610.013,22.875,23,23.375,23.25,24.375,24.25,1.075,38.081,1995,37.006,1931.3,1930,1995,-17.302,0.717,28.008,0.175,5.399,-36.8,-33.667,47.491,41.377,1935,38.243,4.842,135.632,30.313,8.56,8.28,47.5,41.078,1935,38.176,4.888,136.912,32.125,-34.412,-30.656,47.506,42.112,1962.5,38.496,4.774,133.716,34.188,8.6,8.36,47.505,42.052,1962.5,38.439,4.78,133.894,35.75,-34.435,-30.117,47.501,43.334,1990,39.033,4.635,129.808,37.5,8.28,8.08,47.505,43.064,1990,38.975,4.668,130.737,38.875,0.887,39.52,2195.5,38.633,2110,2110,2200,-18.058,0.711,28.008,0.175,5.399,-35.088,-32.791,47.513,40.901,2115,39.945,4.923,137.896,35.313,8.88,8.6,47.505,40.831,2115,39.888,4.923,137.888,36.875,-34.74,-32.247,47.506,42.095,2155,40.176,4.776,133.767,39.063,8.72,8.44,47.496,41.595,2155,40.066,4.822,135.062,40.438,-36.695,-35.413,47.489,43.149,2195,40.018,4.642,130.01,42.063,8.24,8,47.497,43.004,2195,39.957,4.666,130.688,43,0,28.008,0.17,5.399,PASS
T1054,0,6.374,0,99.867,0,8.323,115.564,605.752,0,603.782,0,8.138,612.254,5.151,0,99.516,0,8.037,113.748,597.359,0,601.93,0,8.053,610.356,22.438,23,22.063,20.688,22.875,23.188,0.883,37.553,1995,36.67,1952.43,1930,1995,-17.762,0.719,28.008,0.175,5.399,-33.224,-30.809,47.485,40.842,1935,38.181,4.899,137.224,28.813,8.72,8.44,47.5,41.025,1935,38.166,4.894,137.072,30.563,-31.62,-28.785,47.497,41.98,1962.5,38.372,4.78,133.875,32.625,8.72,8.48,47.509,41.661,1962.5,38.301,4.83,135.274,34.125,-31.226,-27.803,47.496,43.207,1990,38.82,4.643,130.032,35.625,8.36,8.16,47.507,43.103,1990,38.781,4.666,130.688,36.813,0.385,39.401,2195.5,39.016,2137.9,2110,2200,-18.586,0.707,28.008,0.175,5.399,-35.919,-32.789,47.508,40.935,2115,40.365,4.913,137.617,33.625,8.76,8.52,47.505,40.908,2115,40.326,4.913,137.617,34.875,-34.391,-31.712,47.51,41.903,2155,40.352,4.803,134.52,37.188,8.56,8.36,47.515,41.659,2155,40.271,4.836,135.438,38.438,-37.24,-35.008,47.514,42.962,2195,40.018,4.688,131.305,40.25,8.08,7.88,47.511,42.6,2195,39.935,4.725,132.338,41.25,0,28.008,0.169,5.399,PASS
T1055,0,1.238,0,100.198,0,8.244,109.908,597.934,0,601.82,0,8.059,610.216,1.505,0,100.688,0,8.044,110.428,597.354,0,601.434,0,8.059,609.757,24.813,24.938,24.438,25.563,25.688,25.938,1.207,39.148,1995,37.942,1930,1930,1995,-14.264,0.711,28.008,0.177,5.399,-40.931,-37.187,47.498,41.809,1935,38.834,4.8,134.444,29.75,8.4,8.12,47.502,41.904,1935,38.808,4.794,134.267,31.438,-38.133,-33.104,47.51,42.535,1962.5,39.116,4.732,132.526,33.25,8.36,8.08,47.501,42.558,1962.5,39.071,4.719,132.176,34.625,-33.015,-30.055,47.492,43.6,1990,39.826,4.596,128.727,36.563,7.96,7.76,47.5,43.311,1990,39.754,4.635,129.828,37.688,0.595,40.111,2192.8,39.517,2119.9,2110,2200,-14.854,0.7,28.008,0.177,5.399,-38.362,-38.857,47.49,40.588,2115,40.509,4.935,138.216,34.563,8.56,8.2,47.488,40.785,2115,40.507,4.909,137.487,35.875,-41.523,-37.652,47.496,40.932,2155,40.753,4.901,137.255,38.063,8.52,8.2,47.505,40.62,2155,40.662,4.949,138.601,39.438,-38.137,-39.143,47.514,42.289,2195,40.453,4.763,133.406,41.375,8.2,7.92,47.496,41.918,2195,40.359,4.786,134.044,42.375,0,28.008,0.171,5.399,PASS
T1056,0,7.587,0,100.416,0,8.25,117.475,603.564,0,604.132,0,8.032,612.587,5.314,0,100.489,0,8.069,114.858,600.072,0,603.311,0,8.054,611.645,23.313,23.75,23.438,23.625,24.375,24.25,1.291,38.48,1995,37.189,1930,1930,1995,-15.424,0.704,28.006,0.177,5.401,-38.683,-34.612,47.51,42.7,1935,38.233,4.713,131.994,29.938,8.36,8.08,47.498,42.741,1935,38.221,4.695,131.497,31.438,-38.515,-33.249,47.5,42.555,1962.5,38.751,4.718,132.149,33.438,8.2,8,47.506,42.763,1962.5,38.718,4.702,131.682,34.938,-34.495,-29.805,47.499,43.335,1990,39.324,4.632,129.727,36.688,7.88,7.72,47.491,43.191,1990,39.267,4.64,129.941,37.875,0.26,38.873,2198.2,38.614,2143.3,2110,2200,-16.605,0.694,28.006,0.177,5.4,-34.82,-31.798,47.498,39.466,2115,40.159,5.086,142.438,35.063,8.88,8.6,47.51,39.359,2115,40.096,5.113,143.208,36.563,-33.134,-30.3,47.503,39.317,2155,40.063,5.11,143.125,38.938,8.64,8.4,47.493,38.898,2155,39.953,5.154,144.34,40.188,-36.955,-32.414,47.495,41.549,2195,39.648,4.827,135.18,42.063,8.16,8,47.502,41.332,2195,39.57,4.861,136.124,43.25,0,28.006,0.171,5.401,PASS
